Source:,G:\My Drive\KiCAD\CSwitch_CalCoilV2\CSwitch_CalCoilV2.kicad_sch,,,,,,
Date:,3/4/2024 14:32,,,,,,
Tool:,Eeschema 7.0.8,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,,
Component Count:,48,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor,DNP
,,,,,,,
"J1, J2",2,5-104363-3,5-104363-3, 5-104363-3,,,
,,,,,,,
"J4, J5",2,BM04B-SRSS-TB(LF)(SN),BM04B-SRSS-TB(LF)(SN), CONN_BM04B-SRSS-TB(LF)(SN),,,
,,,,,,,
LED1,1,Blue,APT2012LZGCK, LEDC2012X85N,Standard LEDs - SMD 2.0X1.2MM LOW CRNT,,
LED2,1,REd,APT2012LZGCK, LEDC2012X85N,Standard LEDs - SMD 2.0X1.2MM LOW CRNT,,
LED3,1,Yellow,APT2012LZGCK, LEDC2012X85N,Standard LEDs - SMD 2.0X1.2MM LOW CRNT,,
LED4,1,Green,APT2012LZGCK, LEDC2012X85N,Standard LEDs - SMD 2.0X1.2MM LOW CRNT,,
"R1, R8, R9, R15",4,200,R, R_0805_2012Metric,Resistor,,
"R2, R3",2,10k,R, R_0805_2012Metric,Resistor,,
R4,1,330,R, R_1206_3216Metric ,Resistor,,
"R5, R6, R7, R12",4,100k,R, R_0805_2012Metric,Resistor,,
"R10, R11, R18, R19, R22, R23, R24, R25",8,NP,R, R_1206_3216Metric ,Resistor,,
"R13, R14",2,750,R, R_0805_2012Metric,Resistor,,
"R16, R17",2,325,R, R_0805_2012Metric,Resistor,,
R20,1,7.5,R, R_1206_3216Metric ,Resistor,,
R21,1,75,R, R_1206_3216Metric ,Resistor,,
R26,1,549,R, R_1206_3216Metric ,Resistor,,
U1,1,PCA8574,PCA8574PW_118, PCA8574PW_118,,,
"U2, U3, U4, U5",4,TLP3553,TLP3553ATP1_F, TLP3553ATP1_F,,,
