"Reference","Value","Footprint","Datasheet","Description","Height","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","STANDARD","Qty"
"H1-H5"," ","MountingHole:MountingHole_2.7mm_M2.5","~","","","","","","","","","","5"
"J1, J2","5-104363-3","library_components:5-104363-3","","","","","","","","","","","2"
"J3","Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","1"
"J4, J5","BM04B-SRSS-TB(LF)(SN)","library_components:CONN_BM04B-SRSS-TB(LF)(SN)","","","","JST","","","","","N/A","Manufacturer Recommendations","2"
"JP1-JP3","12","Jumper:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm","~","","","","","","","","","","3"
"LED1","Blue","library_components:LEDC2012X85N","http://www.kingbrightusa.com/images/catalog/SPEC/APT2012LZGCK.pdf","Standard LEDs - SMD 2.0X1.2MM LOW CRNT","0.85","","Kingbright","APT2012LZGCK","604-APT2012LZGCK","https://www.mouser.co.uk/ProductDetail/Kingbright/APT2012LZGCK?qs=6oMev5NRZMHOosFiXb%2F3qw%3D%3D","","","1"
"LED2","REd","library_components:LEDC2012X85N","http://www.kingbrightusa.com/images/catalog/SPEC/APT2012LZGCK.pdf","Standard LEDs - SMD 2.0X1.2MM LOW CRNT","0.85","","Kingbright","APT2012LZGCK","604-APT2012LZGCK","https://www.mouser.co.uk/ProductDetail/Kingbright/APT2012LZGCK?qs=6oMev5NRZMHOosFiXb%2F3qw%3D%3D","","","1"
"LED3","Yellow","library_components:LEDC2012X85N","http://www.kingbrightusa.com/images/catalog/SPEC/APT2012LZGCK.pdf","Standard LEDs - SMD 2.0X1.2MM LOW CRNT","0.85","","Kingbright","APT2012LZGCK","604-APT2012LZGCK","https://www.mouser.co.uk/ProductDetail/Kingbright/APT2012LZGCK?qs=6oMev5NRZMHOosFiXb%2F3qw%3D%3D","","","1"
"LED4","Green","library_components:LEDC2012X85N","http://www.kingbrightusa.com/images/catalog/SPEC/APT2012LZGCK.pdf","Standard LEDs - SMD 2.0X1.2MM LOW CRNT","0.85","","Kingbright","APT2012LZGCK","604-APT2012LZGCK","https://www.mouser.co.uk/ProductDetail/Kingbright/APT2012LZGCK?qs=6oMev5NRZMHOosFiXb%2F3qw%3D%3D","","","1"
"R1, R8, R9, R15","200","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","4"
"R2, R3","10k","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","2"
"R4, R10, R11, R18-R26","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","12"
"R5-R7, R12","100k","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","4"
"R13, R14","750","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","2"
"R16, R17","325","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","2"
"U1","PCA8574","library_components:PCA8574PW_118","","","","","","","","","","","1"
"U2-U5","TLP3553","library_components:TLP3553ATP1_F","","","","","","","","","","","4"
